trial number,sensor position,sample num,sensor value,subject identifier,matching condition,channel,name,time
61,FP1,0,-11668,a,S2 match,0,co2a0000371,0
61,FP1,1,-96629,a,S2 match,0,co2a0000371,390625
61,FP1,2,-52684,a,S2 match,0,co2a0000371,78125
61,FP1,3,72805,a,S2 match,0,co2a0000371,1171875
61,FP1,4,128469,a,S2 match,0,co2a0000371,15625
61,FP1,5,45949,a,S2 match,0,co2a0000371,1953125
61,FP1,6,-76121,a,S2 match,0,co2a0000371,234375
61,FP1,7,-96141,a,S2 match,0,co2a0000371,2734375
61,FP1,8,-5809,a,S2 match,0,co2a0000371,3125
61,FP1,9,65969,a,S2 match,0,co2a0000371,3515625
61,FP1,10,23488,a,S2 match,0,co2a0000371,390625
61,FP1,11,-7075,a,S2 match,0,co2a0000371,4296875
61,FP1,12,-81004,a,S2 match,0,co2a0000371,46875
61,FP1,13,21047,a,S2 match,0,co2a0000371,5078125
61,FP1,14,119191,a,S2 match,0,co2a0000371,546875
61,FP1,15,94777,a,S2 match,0,co2a0000371,5859375
61,FP1,16,-17527,a,S2 match,0,co2a0000371,625
61,FP1,17,-7368,a,S2 match,0,co2a0000371,6640625
61,FP1,18,-3855,a,S2 match,0,co2a0000371,703125
61,FP1,19,96242,a,S2 match,0,co2a0000371,7421875
61,FP1,20,94289,a,S2 match,0,co2a0000371,78125
61,FP1,21,-13621,a,S2 match,0,co2a0000371,8203125
61,FP1,22,-97605,a,S2 match,0,co2a0000371,859375
61,FP1,23,-58543,a,S2 match,0,co2a0000371,8984375
61,FP1,24,41555,a,S2 match,0,co2a0000371,9375
61,FP1,25,65481,a,S2 match,0,co2a0000371,9765625
61,FP1,26,-1948,a,S2 match,0,co2a0000371,1015625
61,FP1,27,-96629,a,S2 match,0,co2a0000371,10546875
61,FP1,28,-54148,a,S2 match,0,co2a0000371,109375
61,FP1,29,70852,a,S2 match,0,co2a0000371,11328125
61,FP1,30,130422,a,S2 match,0,co2a0000371,1171875
