Column1;trial number;sensor position;sample num;sensor value;subject identifier;matching condition;channel;name;time
5;75;FP1;0;60689;a;S2 match;0;co2a0000371;0
6;75;FP1;1;45553;a;S2 match;0;co2a0000371;390625
7;75;FP1;2;-51127;a;S2 match;0;co2a0000371;78125
8;75;FP1;3;-93608;a;S2 match;0;co2a0000371;1171875
9;75;FP1;4;-15483;a;S2 match;0;co2a0000371;15625
10;75;FP1;5;90963;a;S2 match;0;co2a0000371;1953125
11;75;FP1;6;92916;a;S2 match;0;co2a0000371;234375
12;75;FP1;7;-13529;a;S2 match;0;co2a0000371;2734375
13;75;FP1;8;-90678;a;S2 match;0;co2a0000371;3125
14;75;FP1;9;-35502;a;S2 match;0;co2a0000371;3515625
15;75;FP1;10;85592;a;S2 match;0;co2a0000371;390625
16;75;FP1;11;122213;a;S2 match;0;co2a0000371;4296875
17;75;FP1;12;27974;a;S2 match;0;co2a0000371;46875
18;75;FP1;13;-85307;a;S2 match;0;co2a0000371;5078125
19;75;FP1;14;-85795;a;S2 match;0;co2a0000371;546875
20;75;FP1;15;12349;a;S2 match;0;co2a0000371;5859375
21;75;FP1;16;70455;a;S2 match;0;co2a0000371;625
22;75;FP1;17;12349;a;S2 match;0;co2a0000371;6640625
23;75;FP1;18;-79447;a;S2 match;0;co2a0000371;703125
24;75;FP1;19;-731;a;S2 match;0;co2a0000371;7421875
25;75;FP1;20;39205;a;S2 match;0;co2a0000371;78125
26;75;FP1;21;127096;a;S2 match;0;co2a0000371;8203125
27;75;FP1;22;85103;a;S2 match;0;co2a0000371;859375
28;75;FP1;23;-29643;a;S2 match;0;co2a0000371;8984375
29;75;FP1;24;-70658;a;S2 match;0;co2a0000371;9375
30;75;FP1;25;10885;a;S2 match;0;co2a0000371;9765625
31;75;FP1;26;105611;a;S2 match;0;co2a0000371;1015625
32;75;FP1;27;87545;a;S2 match;0;co2a0000371;10546875
33;75;FP1;28;-26225;a;S2 match;0;co2a0000371;109375
34;75;FP1;29;-9849;a;S2 match;0;co2a0000371;11328125
35;75;FP1;30;-46244;a;S2 match;0;co2a0000371;1171875
36;75;FP1;31;519;a;S2 match;0;co2a0000371;12109375
37;75;FP1;32;60689;a;S2 match;0;co2a0000371;125
38;75;FP1;33;-30619;a;S2 match;0;co2a0000371;12890625
39;75;FP1;34;-97026;a;S2 match;0;co2a0000371;1328125
40;75;FP1;35;-3892;a;S2 match;0;co2a0000371;13671875
41;75;FP1;36;8608;a;S2 match;0;co2a0000371;140625
42;75;FP1;37;129537;a;S2 match;0;co2a0000371;14453125
43;75;FP1;38;39205;a;S2 match;0;co2a0000371;1484375
44;75;FP1;39;-71635;a;S2 match;0;co2a0000371;15234375
45;75;FP1;40;-69194;a;S2 match;0;co2a0000371;15625
46;75;FP1;41;31392;a;S2 match;0;co2a0000371;16015625
47;75;FP1;42;93892;a;S2 match;0;co2a0000371;1640625
48;75;FP1;43;3481;a;S2 match;0;co2a0000371;16796875
49;75;FP1;44;-71635;a;S2 match;0;co2a0000371;171875
50;75;FP1;45;-87748;a;S2 match;0;co2a0000371;17578125
51;75;FP1;46;356;a;S2 match;0;co2a0000371;1796875
52;75;FP1;47;78756;a;S2 match;0;co2a0000371;18359375
53;75;FP1;48;35299;a;S2 match;0;co2a0000371;1875
54;75;FP1;49;-71147;a;S2 match;0;co2a0000371;19140625
55;75;FP1;50;-97026;a;S2 match;0;co2a0000371;1953125
56;75;FP1;51;6002;a;S2 match;0;co2a0000371;19921875
57;75;FP1;52;122213;a;S2 match;0;co2a0000371;203125
58;75;FP1;53;113424;a;S2 match;0;co2a0000371;20703125
59;75;FP1;54;-6205;a;S2 match;0;co2a0000371;2109375
60;75;FP1;55;-88725;a;S2 match;0;co2a0000371;21484375
61;75;FP1;56;-4185;a;S2 match;0;co2a0000371;21875
62;75;FP1;57;67037;a;S2 match;0;co2a0000371;22265625
63;75;FP1;58;89498;a;S2 match;0;co2a0000371;2265625
64;75;FP1;59;-3276;a;S2 match;0;co2a0000371;23046875
65;75;FP1;60;-91654;a;S2 match;0;co2a0000371;234375
66;75;FP1;61;-63822;a;S2 match;0;co2a0000371;23828125
67;75;FP1;62;38228;a;S2 match;0;co2a0000371;2421875
68;75;FP1;63;76314;a;S2 match;0;co2a0000371;24609375
69;75;FP1;64;-2299;a;S2 match;0;co2a0000371;25
70;75;FP1;65;-93608;a;S2 match;0;co2a0000371;25390625
71;75;FP1;66;-7017;a;S2 match;0;co2a0000371;2578125
72;75;FP1;67;5483;a;S2 match;0;co2a0000371;26171875
73;75;FP1;68;133931;a;S2 match;0;co2a0000371;265625
74;75;FP1;69;71431;a;S2 match;0;co2a0000371;26953125
75;75;FP1;70;-56498;a;S2 match;0;co2a0000371;2734375
76;75;FP1;71;-10142;a;S2 match;0;co2a0000371;27734375
77;75;FP1;72;-25248;a;S2 match;0;co2a0000371;28125
78;75;FP1;73;59224;a;S2 match;0;co2a0000371;28515625
79;75;FP1;74;38228;a;S2 match;0;co2a0000371;2890625
80;75;FP1;75;-55522;a;S2 match;0;co2a0000371;29296875
81;75;FP1;76;-87748;a;S2 match;0;co2a0000371;296875
82;75;FP1;77;-4252;a;S2 match;0;co2a0000371;30078125
83;75;FP1;78;95357;a;S2 match;0;co2a0000371;3046875
84;75;FP1;79;84615;a;S2 match;0;co2a0000371;30859375
85;75;FP1;80;-22807;a;S2 match;0;co2a0000371;3125
86;75;FP1;81;-89701;a;S2 match;0;co2a0000371;31640625
87;75;FP1;82;-24272;a;S2 match;0;co2a0000371;3203125
88;75;FP1;83;94381;a;S2 match;0;co2a0000371;32421875
89;75;FP1;84;118306;a;S2 match;0;co2a0000371;328125
90;75;FP1;85;14791;a;S2 match;0;co2a0000371;33203125
91;75;FP1;86;-91166;a;S2 match;0;co2a0000371;3359375
92;75;FP1;87;-78471;a;S2 match;0;co2a0000371;33984375
93;75;FP1;88;21627;a;S2 match;0;co2a0000371;34375
94;75;FP1;89;70943;a;S2 match;0;co2a0000371;34765625
95;75;FP1;90;4049;a;S2 match;0;co2a0000371;3515625
96;75;FP1;91;-84819;a;S2 match;0;co2a0000371;35546875
97;75;FP1;92;-66752;a;S2 match;0;co2a0000371;359375
98;75;FP1;93;50435;a;S2 match;0;co2a0000371;36328125
99;75;FP1;94;129537;a;S2 match;0;co2a0000371;3671875
100;75;FP1;95;77291;a;S2 match;0;co2a0000371;37109375
101;75;FP1;96;-37455;a;S2 match;0;co2a0000371;375
102;75;FP1;97;-69194;a;S2 match;0;co2a0000371;37890625
103;75;FP1;98;19674;a;S2 match;0;co2a0000371;3828125
104;75;FP1;99;109029;a;S2 match;0;co2a0000371;38671875
105;75;FP1;100;79732;a;S2 match;0;co2a0000371;390625
106;75;FP1;101;-36967;a;S2 match;0;co2a0000371;39453125
107;75;FP1;102;-99467;a;S2 match;0;co2a0000371;3984375
108;75;FP1;103;-3892;a;S2 match;0;co2a0000371;40234375
109;75;FP1;104;56783;a;S2 match;0;co2a0000371;40625
110;75;FP1;105;56783;a;S2 match;0;co2a0000371;41015625
111;75;FP1;106;-3892;a;S2 match;0;co2a0000371;4140625
112;75;FP1;107;-97514;a;S2 match;0;co2a0000371;41796875
113;75;FP1;108;-28666;a;S2 match;0;co2a0000371;421875
114;75;FP1;109;94869;a;S2 match;0;co2a0000371;42578125
115;75;FP1;110;126607;a;S2 match;0;co2a0000371;4296875
116;75;FP1;111;2651;a;S2 match;0;co2a0000371;43359375
117;75;FP1;112;-85795;a;S2 match;0;co2a0000371;4375
118;75;FP1;113;-82377;a;S2 match;0;co2a0000371;44140625
119;75;FP1;114;13814;a;S2 match;0;co2a0000371;4453125
120;75;FP1;115;66549;a;S2 match;0;co2a0000371;44921875
121;75;FP1;116;6002;a;S2 match;0;co2a0000371;453125
122;75;FP1;117;-81889;a;S2 match;0;co2a0000371;45703125
123;75;FP1;118;-74565;a;S2 match;0;co2a0000371;4609375
124;75;FP1;119;26021;a;S2 match;0;co2a0000371;46484375
125;75;FP1;120;88521;a;S2 match;0;co2a0000371;46875
