Column1;trial number;sensor position;sample num;sensor value;subject identifier;matching condition;channel;name;time
5;71;FP1;0;-351;c;S2 match;0;co2c0000338;0
6;71;FP1;1;-3998;c;S2 match;0;co2c0000338;390625
7;71;FP1;2;-6927;c;S2 match;0;co2c0000338;78125
8;71;FP1;3;-10345;c;S2 match;0;co2c0000338;1171875
9;71;FP1;4;-12299;c;S2 match;0;co2c0000338;15625
10;71;FP1;5;-12299;c;S2 match;0;co2c0000338;1953125
11;71;FP1;6;-9369;c;S2 match;0;co2c0000338;234375
12;71;FP1;7;-6439;c;S2 match;0;co2c0000338;2734375
13;71;FP1;8;-3998;c;S2 match;0;co2c0000338;3125
14;71;FP1;9;-351;c;S2 match;0;co2c0000338;3515625
15;71;FP1;10;-5463;c;S2 match;0;co2c0000338;390625
16;71;FP1;11;-8392;c;S2 match;0;co2c0000338;4296875
17;71;FP1;12;-10345;c;S2 match;0;co2c0000338;46875
18;71;FP1;13;-10345;c;S2 match;0;co2c0000338;5078125
19;71;FP1;14;-9369;c;S2 match;0;co2c0000338;546875
20;71;FP1;15;-6927;c;S2 match;0;co2c0000338;5859375
21;71;FP1;16;-4974;c;S2 match;0;co2c0000338;625
22;71;FP1;17;-351;c;S2 match;0;co2c0000338;6640625
23;71;FP1;18;-3021;c;S2 match;0;co2c0000338;703125
24;71;FP1;19;-2533;c;S2 match;0;co2c0000338;7421875
25;71;FP1;20;-2533;c;S2 match;0;co2c0000338;78125
26;71;FP1;21;-2533;c;S2 match;0;co2c0000338;8203125
27;71;FP1;22;-351;c;S2 match;0;co2c0000338;859375
28;71;FP1;23;-4974;c;S2 match;0;co2c0000338;8984375
29;71;FP1;24;-6439;c;S2 match;0;co2c0000338;9375
30;71;FP1;25;-8392;c;S2 match;0;co2c0000338;9765625
31;71;FP1;26;-9857;c;S2 match;0;co2c0000338;1015625
32;71;FP1;27;-10345;c;S2 match;0;co2c0000338;10546875
33;71;FP1;28;-10834;c;S2 match;0;co2c0000338;109375
34;71;FP1;29;-12299;c;S2 match;0;co2c0000338;11328125
35;71;FP1;30;-13763;c;S2 match;0;co2c0000338;1171875
36;71;FP1;31;-15717;c;S2 match;0;co2c0000338;12109375
37;71;FP1;32;-16205;c;S2 match;0;co2c0000338;125
38;71;FP1;33;-15717;c;S2 match;0;co2c0000338;12890625
39;71;FP1;34;-14252;c;S2 match;0;co2c0000338;1328125
40;71;FP1;35;-1181;c;S2 match;0;co2c0000338;13671875
41;71;FP1;36;-9857;c;S2 match;0;co2c0000338;140625
42;71;FP1;37;-7416;c;S2 match;0;co2c0000338;14453125
43;71;FP1;38;-6439;c;S2 match;0;co2c0000338;1484375
44;71;FP1;39;-6439;c;S2 match;0;co2c0000338;15234375
45;71;FP1;40;-8392;c;S2 match;0;co2c0000338;15625
46;71;FP1;41;-10834;c;S2 match;0;co2c0000338;16015625
47;71;FP1;42;-12299;c;S2 match;0;co2c0000338;1640625
48;71;FP1;43;-12787;c;S2 match;0;co2c0000338;16796875
49;71;FP1;44;-12299;c;S2 match;0;co2c0000338;171875
50;71;FP1;45;-11322;c;S2 match;0;co2c0000338;17578125
51;71;FP1;46;-10345;c;S2 match;0;co2c0000338;1796875
52;71;FP1;47;-10345;c;S2 match;0;co2c0000338;18359375
53;71;FP1;48;-10834;c;S2 match;0;co2c0000338;1875
54;71;FP1;49;-1181;c;S2 match;0;co2c0000338;19140625
55;71;FP1;50;-13275;c;S2 match;0;co2c0000338;1953125
56;71;FP1;51;-15228;c;S2 match;0;co2c0000338;19921875
57;71;FP1;52;-17181;c;S2 match;0;co2c0000338;203125
58;71;FP1;53;-18158;c;S2 match;0;co2c0000338;20703125
59;71;FP1;54;-18646;c;S2 match;0;co2c0000338;2109375
60;71;FP1;55;-18158;c;S2 match;0;co2c0000338;21484375
61;71;FP1;56;-18646;c;S2 match;0;co2c0000338;21875
62;71;FP1;57;-19623;c;S2 match;0;co2c0000338;22265625
63;71;FP1;58;-20111;c;S2 match;0;co2c0000338;2265625
64;71;FP1;59;-19623;c;S2 match;0;co2c0000338;23046875
65;71;FP1;60;-17181;c;S2 match;0;co2c0000338;234375
66;71;FP1;61;-13763;c;S2 match;0;co2c0000338;23828125
67;71;FP1;62;-1181;c;S2 match;0;co2c0000338;2421875
68;71;FP1;63;-1181;c;S2 match;0;co2c0000338;24609375
69;71;FP1;64;-14252;c;S2 match;0;co2c0000338;25
70;71;FP1;65;-16693;c;S2 match;0;co2c0000338;25390625
71;71;FP1;66;-1767;c;S2 match;0;co2c0000338;2578125
72;71;FP1;67;-16205;c;S2 match;0;co2c0000338;26171875
73;71;FP1;68;-13275;c;S2 match;0;co2c0000338;265625
74;71;FP1;69;-10345;c;S2 match;0;co2c0000338;26953125
75;71;FP1;70;-9369;c;S2 match;0;co2c0000338;2734375
76;71;FP1;71;-9857;c;S2 match;0;co2c0000338;27734375
77;71;FP1;72;-1181;c;S2 match;0;co2c0000338;28125
78;71;FP1;73;-14252;c;S2 match;0;co2c0000338;28515625
79;71;FP1;74;-15717;c;S2 match;0;co2c0000338;2890625
80;71;FP1;75;-15717;c;S2 match;0;co2c0000338;29296875
81;71;FP1;76;-15717;c;S2 match;0;co2c0000338;296875
82;71;FP1;77;-1474;c;S2 match;0;co2c0000338;30078125
83;71;FP1;78;-14252;c;S2 match;0;co2c0000338;3046875
84;71;FP1;79;-13763;c;S2 match;0;co2c0000338;30859375
85;71;FP1;80;-13763;c;S2 match;0;co2c0000338;3125
86;71;FP1;81;-1474;c;S2 match;0;co2c0000338;31640625
87;71;FP1;82;-15717;c;S2 match;0;co2c0000338;3203125
88;71;FP1;83;-17181;c;S2 match;0;co2c0000338;32421875
89;71;FP1;84;-16693;c;S2 match;0;co2c0000338;328125
90;71;FP1;85;-1474;c;S2 match;0;co2c0000338;33203125
91;71;FP1;86;-11322;c;S2 match;0;co2c0000338;3359375
92;71;FP1;87;-8392;c;S2 match;0;co2c0000338;33984375
93;71;FP1;88;-8392;c;S2 match;0;co2c0000338;34375
94;71;FP1;89;-10345;c;S2 match;0;co2c0000338;34765625
95;71;FP1;90;-1181;c;S2 match;0;co2c0000338;3515625
96;71;FP1;91;-11322;c;S2 match;0;co2c0000338;35546875
97;71;FP1;92;-8392;c;S2 match;0;co2c0000338;359375
98;71;FP1;93;-3998;c;S2 match;0;co2c0000338;36328125
99;71;FP1;94;-1068;c;S2 match;0;co2c0000338;3671875
100;71;FP1;95;397;c;S2 match;0;co2c0000338;37109375
101;71;FP1;96;397;c;S2 match;0;co2c0000338;375
102;71;FP1;97;397;c;S2 match;0;co2c0000338;37890625
103;71;FP1;98;1862;c;S2 match;0;co2c0000338;3828125
104;71;FP1;99;528;c;S2 match;0;co2c0000338;38671875
105;71;FP1;100;9186;c;S2 match;0;co2c0000338;390625
