Column1;trial number;sensor position;sample num;sensor value;subject identifier;matching condition;channel;name;time
5;99;FP1;0;3082;c;S2 match;0;co2c0000339;0
6;99;FP1;1;3082;c;S2 match;0;co2c0000339;390625
7;99;FP1;2;3571;c;S2 match;0;co2c0000339;78125
8;99;FP1;3;4547;c;S2 match;0;co2c0000339;1171875
9;99;FP1;4;5035;c;S2 match;0;co2c0000339;15625
10;99;FP1;5;5035;c;S2 match;0;co2c0000339;1953125
11;99;FP1;6;5035;c;S2 match;0;co2c0000339;234375
12;99;FP1;7;6012;c;S2 match;0;co2c0000339;2734375
13;99;FP1;8;7965;c;S2 match;0;co2c0000339;3125
14;99;FP1;9;10406;c;S2 match;0;co2c0000339;3515625
15;99;FP1;10;12848;c;S2 match;0;co2c0000339;390625
16;99;FP1;11;14313;c;S2 match;0;co2c0000339;4296875
17;99;FP1;12;14313;c;S2 match;0;co2c0000339;46875
18;99;FP1;13;14313;c;S2 match;0;co2c0000339;5078125
19;99;FP1;14;13336;c;S2 match;0;co2c0000339;546875
20;99;FP1;15;1236;c;S2 match;0;co2c0000339;5859375
21;99;FP1;16;10895;c;S2 match;0;co2c0000339;625
22;99;FP1;17;9918;c;S2 match;0;co2c0000339;6640625
23;99;FP1;18;943;c;S2 match;0;co2c0000339;703125
24;99;FP1;19;8942;c;S2 match;0;co2c0000339;7421875
25;99;FP1;20;943;c;S2 match;0;co2c0000339;78125
26;99;FP1;21;10406;c;S2 match;0;co2c0000339;8203125
27;99;FP1;22;10895;c;S2 match;0;co2c0000339;859375
28;99;FP1;23;10406;c;S2 match;0;co2c0000339;8984375
29;99;FP1;24;943;c;S2 match;0;co2c0000339;9375
30;99;FP1;25;7965;c;S2 match;0;co2c0000339;9765625
31;99;FP1;26;6012;c;S2 match;0;co2c0000339;1015625
32;99;FP1;27;4059;c;S2 match;0;co2c0000339;10546875
33;99;FP1;28;2594;c;S2 match;0;co2c0000339;109375
34;99;FP1;29;1617;c;S2 match;0;co2c0000339;11328125
35;99;FP1;30;1129;c;S2 match;0;co2c0000339;1171875
36;99;FP1;31;1129;c;S2 match;0;co2c0000339;12109375
37;99;FP1;32;1129;c;S2 match;0;co2c0000339;125
38;99;FP1;33;1617;c;S2 match;0;co2c0000339;12890625
39;99;FP1;34;1617;c;S2 match;0;co2c0000339;1328125
40;99;FP1;35;1617;c;S2 match;0;co2c0000339;13671875
41;99;FP1;36;2106;c;S2 match;0;co2c0000339;140625
42;99;FP1;37;2106;c;S2 match;0;co2c0000339;14453125
43;99;FP1;38;3571;c;S2 match;0;co2c0000339;1484375
44;99;FP1;39;3571;c;S2 match;0;co2c0000339;15234375
45;99;FP1;40;4059;c;S2 match;0;co2c0000339;15625
46;99;FP1;41;4059;c;S2 match;0;co2c0000339;16015625
47;99;FP1;42;3571;c;S2 match;0;co2c0000339;1640625
48;99;FP1;43;4059;c;S2 match;0;co2c0000339;16796875
49;99;FP1;44;5035;c;S2 match;0;co2c0000339;171875
50;99;FP1;45;6989;c;S2 match;0;co2c0000339;17578125
51;99;FP1;46;8942;c;S2 match;0;co2c0000339;1796875
52;99;FP1;47;10895;c;S2 match;0;co2c0000339;18359375
53;99;FP1;48;11871;c;S2 match;0;co2c0000339;1875
54;99;FP1;49;1236;c;S2 match;0;co2c0000339;19140625
55;99;FP1;50;12848;c;S2 match;0;co2c0000339;1953125
56;99;FP1;51;13336;c;S2 match;0;co2c0000339;19921875
57;99;FP1;52;13824;c;S2 match;0;co2c0000339;203125
58;99;FP1;53;14801;c;S2 match;0;co2c0000339;20703125
59;99;FP1;54;15778;c;S2 match;0;co2c0000339;2109375
60;99;FP1;55;15289;c;S2 match;0;co2c0000339;21484375
61;99;FP1;56;14313;c;S2 match;0;co2c0000339;21875
62;99;FP1;57;12848;c;S2 match;0;co2c0000339;22265625
63;99;FP1;58;10895;c;S2 match;0;co2c0000339;2265625
64;99;FP1;59;8942;c;S2 match;0;co2c0000339;23046875
65;99;FP1;60;6989;c;S2 match;0;co2c0000339;234375
66;99;FP1;61;4059;c;S2 match;0;co2c0000339;23828125
67;99;FP1;62;1129;c;S2 match;0;co2c0000339;2421875
68;99;FP1;63;-824;c;S2 match;0;co2c0000339;24609375
69;99;FP1;64;-824;c;S2 match;0;co2c0000339;25
70;99;FP1;65;1129;c;S2 match;0;co2c0000339;25390625
71;99;FP1;66;4059;c;S2 match;0;co2c0000339;2578125
72;99;FP1;67;7477;c;S2 match;0;co2c0000339;26171875
73;99;FP1;68;8453;c;S2 match;0;co2c0000339;265625
74;99;FP1;69;7477;c;S2 match;0;co2c0000339;26953125
75;99;FP1;70;5035;c;S2 match;0;co2c0000339;2734375
76;99;FP1;71;3082;c;S2 match;0;co2c0000339;27734375
77;99;FP1;72;2106;c;S2 match;0;co2c0000339;28125
78;99;FP1;73;2594;c;S2 match;0;co2c0000339;28515625
79;99;FP1;74;3082;c;S2 match;0;co2c0000339;2890625
80;99;FP1;75;3571;c;S2 match;0;co2c0000339;29296875
81;99;FP1;76;3082;c;S2 match;0;co2c0000339;296875
82;99;FP1;77;2594;c;S2 match;0;co2c0000339;30078125
83;99;FP1;78;2594;c;S2 match;0;co2c0000339;3046875
84;99;FP1;79;3571;c;S2 match;0;co2c0000339;30859375
85;99;FP1;80;4059;c;S2 match;0;co2c0000339;3125
86;99;FP1;81;4059;c;S2 match;0;co2c0000339;31640625
87;99;FP1;82;2594;c;S2 match;0;co2c0000339;3203125
88;99;FP1;83;641;c;S2 match;0;co2c0000339;32421875
89;99;FP1;84;-336;c;S2 match;0;co2c0000339;328125
90;99;FP1;85;-1312;c;S2 match;0;co2c0000339;33203125
91;99;FP1;86;-1801;c;S2 match;0;co2c0000339;3359375
92;99;FP1;87;-2777;c;S2 match;0;co2c0000339;33984375
93;99;FP1;88;-3754;c;S2 match;0;co2c0000339;34375
94;99;FP1;89;-4242;c;S2 match;0;co2c0000339;34765625
95;99;FP1;90;-4242;c;S2 match;0;co2c0000339;3515625
96;99;FP1;91;-3754;c;S2 match;0;co2c0000339;35546875
97;99;FP1;92;-3265;c;S2 match;0;co2c0000339;359375
98;99;FP1;93;-2777;c;S2 match;0;co2c0000339;36328125
99;99;FP1;94;-2777;c;S2 match;0;co2c0000339;3671875
100;99;FP1;95;-2289;c;S2 match;0;co2c0000339;37109375
101;99;FP1;96;-1312;c;S2 match;0;co2c0000339;375
102;99;FP1;97;153;c;S2 match;0;co2c0000339;37890625
103;99;FP1;98;2106;c;S2 match;0;co2c0000339;3828125
104;99;FP1;99;5035;c;S2 match;0;co2c0000339;38671875
105;99;FP1;100;8453;c;S2 match;0;co2c0000339;390625
106;99;FP1;101;11383;c;S2 match;0;co2c0000339;39453125
107;99;FP1;102;13336;c;S2 match;0;co2c0000339;3984375
108;99;FP1;103;15289;c;S2 match;0;co2c0000339;40234375
109;99;FP1;104;15778;c;S2 match;0;co2c0000339;40625
110;99;FP1;105;15289;c;S2 match;0;co2c0000339;41015625
111;99;FP1;106;14801;c;S2 match;0;co2c0000339;4140625
112;99;FP1;107;12848;c;S2 match;0;co2c0000339;41796875
113;99;FP1;108;11383;c;S2 match;0;co2c0000339;421875
114;99;FP1;109;10406;c;S2 match;0;co2c0000339;42578125
115;99;FP1;110;9918;c;S2 match;0;co2c0000339;4296875
116;99;FP1;111;9918;c;S2 match;0;co2c0000339;43359375
117;99;FP1;112;10406;c;S2 match;0;co2c0000339;4375
118;99;FP1;113;10406;c;S2 match;0;co2c0000339;44140625
119;99;FP1;114;9918;c;S2 match;0;co2c0000339;4453125
120;99;FP1;115;8453;c;S2 match;0;co2c0000339;44921875
121;99;FP1;116;6989;c;S2 match;0;co2c0000339;453125
122;99;FP1;117;65;c;S2 match;0;co2c0000339;45703125
123;99;FP1;118;6012;c;S2 match;0;co2c0000339;4609375
124;99;FP1;119;6012;c;S2 match;0;co2c0000339;46484375
125;99;FP1;120;5524;c;S2 match;0;co2c0000339;46875
126;99;FP1;121;4059;c;S2 match;0;co2c0000339;47265625
127;99;FP1;122;1617;c;S2 match;0;co2c0000339;4765625
128;99;FP1;123;641;c;S2 match;0;co2c0000339;48046875
129;99;FP1;124;641;c;S2 match;0;co2c0000339;484375
130;99;FP1;125;1129;c;S2 match;0;co2c0000339;48828125
131;99;FP1;126;2106;c;S2 match;0;co2c0000339;4921875
132;99;FP1;127;2594;c;S2 match;0;co2c0000339;49609375
133;99;FP1;128;2106;c;S2 match;0;co2c0000339;5
134;99;FP1;129;641;c;S2 match;0;co2c0000339;50390625
135;99;FP1;130;-336;c;S2 match;0;co2c0000339;5078125
136;99;FP1;131;641;c;S2 match;0;co2c0000339;51171875
137;99;FP1;132;2106;c;S2 match;0;co2c0000339;515625
138;99;FP1;133;4547;c;S2 match;0;co2c0000339;51953125
139;99;FP1;134;5524;c;S2 match;0;co2c0000339;5234375
140;99;FP1;135;6012;c;S2 match;0;co2c0000339;52734375
141;99;FP1;136;5524;c;S2 match;0;co2c0000339;53125
142;99;FP1;137;5035;c;S2 match;0;co2c0000339;53515625
143;99;FP1;138;5035;c;S2 match;0;co2c0000339;5390625
144;99;FP1;139;6012;c;S2 match;0;co2c0000339;54296875
145;99;FP1;140;7477;c;S2 match;0;co2c0000339;546875
146;99;FP1;141;943;c;S2 match;0;co2c0000339;55078125
147;99;FP1;142;11871;c;S2 match;0;co2c0000339;5546875
148;99;FP1;143;12848;c;S2 match;0;co2c0000339;55859375
149;99;FP1;144;13824;c;S2 match;0;co2c0000339;5625
150;99;FP1;145;13336;c;S2 match;0;co2c0000339;56640625
151;99;FP1;146;1236;c;S2 match;0;co2c0000339;5703125
152;99;FP1;147;10895;c;S2 match;0;co2c0000339;57421875
153;99;FP1;148;9918;c;S2 match;0;co2c0000339;578125
154;99;FP1;149;943;c;S2 match;0;co2c0000339;58203125
155;99;FP1;150;10406;c;S2 match;0;co2c0000339;5859375
156;99;FP1;151;11871;c;S2 match;0;co2c0000339;58984375
157;99;FP1;152;13336;c;S2 match;0;co2c0000339;59375
158;99;FP1;153;13824;c;S2 match;0;co2c0000339;59765625
159;99;FP1;154;13824;c;S2 match;0;co2c0000339;6015625
160;99;FP1;155;13824;c;S2 match;0;co2c0000339;60546875
161;99;FP1;156;12848;c;S2 match;0;co2c0000339;609375
162;99;FP1;157;1236;c;S2 match;0;co2c0000339;61328125
163;99;FP1;158;11383;c;S2 match;0;co2c0000339;6171875
164;99;FP1;159;9918;c;S2 match;0;co2c0000339;62109375
165;99;FP1;160;8942;c;S2 match;0;co2c0000339;625
166;99;FP1;161;8453;c;S2 match;0;co2c0000339;62890625
167;99;FP1;162;7477;c;S2 match;0;co2c0000339;6328125
168;99;FP1;163;65;c;S2 match;0;co2c0000339;63671875
